,Symbol
1614,CIM^D
1615,CINC
1616,CINF
1617,CING
1618,CINGW
1619,CINT
1620,CIO
1621,CIO^A
1622,CION
1623,CIR
1624,CISO
1625,CITE
1626,CIVB
1627,CIVI
1628,CIX
1629,CIXX
1630,CIZN
1631,CJJD
1632,CKPT
1633,CKX
1634,CL
1635,CLAA
1636,CLAQ
1637,CLAQU
1638,CLAR
1639,CLAS
1640,CLAY
1641,CLAYW
1642,CLB
1643,CLBK
1644,CLBR
1645,CLBS
1646,CLBT
1647,CLDT
1648,CLDT^A
1649,CLDX
1650,CLEU
1651,CLF
1652,CLFD
1653,CLGN
1654,CLH
1655,CLIM
1656,CLIN
1657,CLINR
1658,CLINU
1659,CLIR
1660,CLLS
1661,CLM
1662,CLMT
1663,CLNE
1664,CLNN
1665,CLNNW
1666,CLOE
1667,CLOER
1668,CLOV
1669,CLPR
1670,CLPS
1671,CLPT
1672,CLR
1673,CLRB
1674,CLRC
1675,CLRCR
1676,CLRM
1677,CLRMW
1678,CLRO
1679,CLS
1680,CLSD
1681,CLSK
1682,CLSN
1683,CLST
1684,CLVR
1685,CLVRW
1686,CLVS
1687,CLVT
1688,CLVT^A
1689,CLW
1690,CLWT
1691,CLX
1692,CLXT
1693,CM
1694,CMA
1695,CMAX
1696,CMAXW
1697,CMBM
1698,CMC
1699,CMCA
1700,CMCL
1701,CMCM
1702,CMCO
1703,CMCSA
1704,CMCT
1705,CME
1706,CMG
1707,CMI
1708,CMLS
1709,CMMB
1710,CMP
1711,CMPO
1712,CMPOW
1713,CMPR
1714,CMPS
1715,CMPX
1716,CMRA
1717,CMRAW
1718,CMRE
1719,CMRE^B
1720,CMRE^C
1721,CMRE^D
1722,CMRE^E
1723,CMRX
1724,CMS
1725,CMS^B
1726,CMS^C
1727,CMSA
1728,CMSC
1729,CMSD
1730,CMT
1731,CMTG
1732,CMTL
1733,CMU
1734,CNA
1735,CNC
1736,CNCE
1737,CND
1738,CNDA
1739,CNDB
1740,CNDT
1741,CNET
1742,CNEY
1743,CNF
1744,CNFR
1745,CNFRL
1746,CNGL
1747,CNGLU
1748,CNGLW
1749,CNHI
1750,CNI
1751,CNK
1752,CNM
1753,CNMD
1754,CNNB
1755,CNNE
1756,CNO
1757,CNO^A
1758,CNOB
1759,CNOBP
1760,CNP
1761,CNQ
1762,CNS
1763,CNSL
1764,CNSP
1765,CNTA
1766,CNTB
1767,CNTG
1768,CNTQ
1769,CNTQU
1770,CNTQW
1771,CNTX
1772,CNTY
1773,CNVY
1774,CNX
1775,CNXA
1776,CNXC
1777,CNXN
1778,CO
1779,COCO
1780,COCP
1781,CODA
1782,CODI
1783,CODI^A
1784,CODI^B
1785,CODI^C
1786,CODX
1787,COE
1788,COF
1789,COF^I
1790,COF^J
1791,COF^K
1792,COF^L
1793,COF^N
1794,COFS
1795,COGT
1796,COHN
1797,COHU
1798,COIN
1799,COKE
1800,COLB
1801,COLD
1802,COLI
1803,COLIU
1804,COLIW
1805,COLL
1806,COLM
1807,COMM
1808,COMP
1809,COMS
1810,COMSP
1811,COMSW
1812,CONN
1813,CONX
1814,CONXU
1815,CONXW
1816,COO
1817,COOK
1818,COOL
1819,COOLU
1820,COOLW
1821,COOP
1822,COP
1823,CORR
1824,CORR^A
1825,CORS
1826,CORT
1827,CORZ
1828,CORZW
1829,COSM
1830,COST
1831,COTY
1832,COUP
1833,COUR
1834,COVA
1835,COVAU
1836,COVAW
1837,COWN
1838,COWNL
1839,CP
1840,CPA
1841,CPAA
1842,CPAAU
1843,CPAC
1844,CPAQU
1845,CPAQW
1846,CPAR
1847,CPARU
1848,CPARW
1849,CPB
1850,CPE
1851,CPF
1852,CPG
1853,CPHC
1854,CPHI
1855,CPIX
1856,CPK
1857,CPLP
1858,CPNG
1859,CPOP
1860,CPRI
1861,CPRT
1862,CPRX
1863,CPS
1864,CPSH
1865,CPSI
1866,CPSS
1867,CPT
